date,population,dogs,strays,euthanazed
2004,123.062,1.526,514,210
2005,123.062,1.342,551,268
2010,119.418,2.033,928,57
2011,119.418,2.824,626,60
2012,119.230,3.059,795,64
2013,119.230,3.235,618,60
2014,119.230,3.310,405,59
2015,119.230,3.055,590,47
2016,125.657,2.600,495,50
2017,125.657,3.515,442,43
